source,url
BusinessStandardLatest,https://www.business-standard.com/rss/latest.rss
BusinessStandardAllElections,https://www.business-standard.com/rss/elections-117.rss
BusinessStandardCurrentAffairs,https://www.business-standard.com/rss/current-affairs-115.rss
DNAMumbai,http://epaper.dnaindia.com/feed.aspx?edcode=820009
DeccanChronicalsNation,http://cms.deccanchronicle.com/deccan/dcipadxml/?sectionId=1
DeccanChronicalsPolitics,http://cms.deccanchronicle.com/deccan/dcipadxml/?sectionId=13
EconomicTimesTopStories,https://economictimes.indiatimes.com/rssfeedstopstories.cms
EconomicTimesPolitics,https://economictimes.indiatimes.com/news/politics-and-nation/rssfeeds/1052732854.cms
EconomicTimesIndiaUnlimited,https://economictimes.indiatimes.com/news/india-unlimited/rssfeeds/45228216.cms
FinancialExpressLatest,https://www.financialexpress.com/feed/
FinancialExpressPolitics,https://www.financialexpress.com/print/politics/feed/
FirstPostIndia,https://www.firstpost.com/rss/india.xml
FirstPostPolitics,https://www.firstpost.com/rss/politics.xml
FreePressJournal,https://www.freepressjournal.in/news/india/feed
IndianExpressNation,http://www.newindianexpress.com/Nation/rssfeed/?id=170&getXmlFeed=true
IndiaToday,https://www.indiatoday.in/rss/1206584
IndiaTVNews,https://www.indiatvnews.com/rssnews/topstory-india.xml
NewKerala,https://www.newkerala.com/india-news.xml
NDTVIndia,http://feeds.feedburner.com/ndtvnews-india-news
OneIndia,https://www.oneindia.com/rss/news-india-fb.xml
OutlookIndia,https://www.outlookindia.com/rss/section/19
Rediff,http://ia.rediff.com/rss/newsrss.xml
Reuters,http://feeds.reuters.com/reuters/INtopNews
ScrollIn,http://feeds.feedburner.com/Scrollinarticles.rss
TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms
TheHindu,https://www.thehindu.com/news/national/feeder/default.rss
TheHinduBusinessLine,https://www.thehindubusinessline.com/news/feeder/default.rss
ZeeNews,https://zeenews.india.com/rss/india-national-news.xml
